phone,password
09660000001,password123
09660000002,password123
09660000003,password123
09660000004,password123
09660000005,password123
09660000006,password123
09660000007,password123
09660000008,password123
09660000009,password123
09660000010,password123
09660000011,password123
09660000012,password123
09660000013,password123
09660000014,password123
09660000015,password123
09660000016,password123
09660000017,password123
09660000018,password123
09660000019,password123
09660000020,password123
09660000021,password123
09660000022,password123
09660000023,password123
09660000024,password123
09660000025,password123
09660000026,password123
09660000027,password123
09660000028,password123
09660000029,password123
09660000030,password123
09660000031,password123
09660000032,password123
09660000033,password123
09660000034,password123
09660000035,password123
09660000036,password123
09660000037,password123
09660000038,password123
09660000039,password123
09660000040,password123
09660000041,password123
09660000042,password123
09660000043,password123
09660000044,password123
09660000045,password123
09660000046,password123
09660000047,password123
09660000048,password123
09660000049,password123
09660000050,password123
09660000051,password123
09660000052,password123
09660000053,password123
09660000054,password123
09660000055,password123
09660000056,password123
09660000057,password123
09660000058,password123
09660000059,password123
09660000060,password123
09660000061,password123
09660000062,password123
09660000063,password123
09660000064,password123
09660000065,password123
09660000066,password123
09660000067,password123
09660000068,password123
09660000069,password123
09660000070,password123
09660000071,password123
09660000072,password123
09660000073,password123
09660000074,password123
09660000075,password123
09660000076,password123
09660000077,password123
09660000078,password123
09660000079,password123
09660000080,password123
09660000081,password123
09660000082,password123
09660000083,password123
09660000084,password123
09660000085,password123
09660000086,password123
09660000087,password123
09660000088,password123
09660000089,password123
09660000090,password123
09660000091,password123
09660000092,password123
09660000093,password123
09660000094,password123
09660000095,password123
09660000096,password123
09660000097,password123
09660000098,password123
09660000099,password123
09660000100,password123
09660000101,password123
09660000102,password123
09660000103,password123
09660000104,password123
09660000105,password123
09660000106,password123
09660000107,password123
09660000108,password123
09660000109,password123
09660000110,password123
09660000111,password123
09660000112,password123
09660000113,password123
09660000114,password123
09660000115,password123
09660000116,password123
09660000117,password123
09660000118,password123
09660000119,password123
09660000120,password123
09660000121,password123
09660000122,password123
09660000123,password123
09660000124,password123
09660000125,password123
09660000126,password123
09660000127,password123
09660000128,password123
09660000129,password123
09660000130,password123
09660000131,password123
09660000132,password123
09660000133,password123
09660000134,password123
09660000135,password123
09660000136,password123
09660000137,password123
09660000138,password123
09660000139,password123
09660000140,password123
09660000141,password123
09660000142,password123
09660000143,password123
09660000144,password123
09660000145,password123
09660000146,password123
09660000147,password123
09660000148,password123
09660000149,password123
09660000150,password123
09660000151,password123
09660000152,password123
09660000153,password123
09660000154,password123
09660000155,password123
09660000156,password123
09660000157,password123
09660000158,password123
09660000159,password123
09660000160,password123
09660000161,password123
09660000162,password123
09660000163,password123
09660000164,password123
09660000165,password123
09660000166,password123
09660000167,password123
09660000168,password123
09660000169,password123
09660000170,password123
09660000171,password123
09660000172,password123
09660000173,password123
09660000174,password123
09660000175,password123
09660000176,password123
09660000177,password123
09660000178,password123
09660000179,password123
09660000180,password123
09660000181,password123
09660000182,password123
09660000183,password123
09660000184,password123
09660000185,password123
09660000186,password123
09660000187,password123
09660000188,password123
09660000189,password123
09660000190,password123
09660000191,password123
09660000192,password123
09660000193,password123
09660000194,password123
09660000195,password123
09660000196,password123
09660000197,password123
09660000198,password123
09660000199,password123
09660000200,password123
09660000201,password123
09660000202,password123
09660000203,password123
09660000204,password123
09660000205,password123
09660000206,password123
09660000207,password123
09660000208,password123
09660000209,password123
09660000210,password123
09660000211,password123
09660000212,password123
09660000213,password123
09660000214,password123
09660000215,password123
09660000216,password123
09660000217,password123
09660000218,password123
09660000219,password123
09660000220,password123
09660000221,password123
